Model Sequence-Length Batch-size Precision Throughput-Average(sent/sec) Latency-Average(ms) Latency-50%(ms) Latency-90%(ms) Latency-95%(ms) Latency-99%(ms) Latency-100%(ms)
base 128 1 --amp 166.93 9.37 5.96 6.04 6.08 9.25 6038.06
base 128 1 --noamp 121.19 10.77 8.24 8.39 8.45 8.87 4408.61
base 128 2 --amp 284.23 10.08 7.00 7.08 7.12 10.16 5125.06
base 128 2 --noamp 138.21 17.26 14.49 14.71 14.78 15.28 4657.13
base 128 4 --amp 406.78 15.22 9.81 9.95 10.06 16.54 5310.33
base 128 4 --noamp 154.01 30.61 26.05 26.59 26.71 27.21 4883.49
base 128 8 --amp 494.75 21.05 16.14 16.49 16.63 17.19 5449.46
base 128 8 --noamp 150.23 57.63 53.12 55.42 55.97 56.85 5230.09
base 384 1 --amp 105.64 15.52 9.43 9.56 9.61 14.84 6277.28
base 384 1 --noamp 40.97 29.40 24.40 24.93 24.98 25.34 5142.78
base 384 2 --amp 130.00 26.98 15.36 15.56 15.62 17.44 6816.48
base 384 2 --noamp 44.80 53.66 44.72 45.44 45.75 46.42 5697.97
base 384 4 --amp 144.99 39.73 27.57 27.94 28.07 29.22 7360.35
base 384 4 --noamp 44.23 100.07 90.44 92.36 92.77 94.09 6388.28
base 384 8 --amp 156.70 64.43 51.11 52.27 52.50 53.47 7729.46
base 384 8 --noamp 44.42 192.46 180.33 185.42 186.85 189.99 7558.43
Model Sequence-Length Batch-size Precision Throughput-Average(sent/sec) Latency-Average(ms) Latency-50%(ms) Latency-90%(ms) Latency-95%(ms) Latency-99%(ms) Latency-100%(ms)
large 128 1 --amp 61.38 21.49 16.28 16.46 16.53 16.97 9315.32
large 128 1 --noamp 37.99 30.34 26.33 26.81 26.89 27.14 7171.94
large 128 2 --amp 104.37 24.73 19.14 19.51 19.62 20.14 9419.58
large 128 2 --noamp 44.26 49.61 45.13 46.63 46.88 47.32 7468.55
large 128 4 --amp 137.97 38.99 29.01 29.53 29.64 30.22 9732.06
large 128 4 --noamp 40.02 107.48 100.80 103.68 104.65 105.87 7892.58
large 128 8 --amp 157.96 59.92 50.71 51.82 52.12 52.56 10074.32
large 128 8 --noamp 40.71 204.15 195.01 205.35 210.91 215.99 8767.00
large 384 1 --amp 37.13 38.42 26.93 27.21 27.33 28.54 11944.82
large 384 1 --noamp 13.83 80.79 72.18 74.38 74.85 76.10 8874.97
large 384 2 --amp 44.30 67.71 45.13 45.67 45.84 46.38 13126.50
large 384 2 --noamp 12.68 173.79 158.31 162.67 163.57 166.25 9961.41
large 384 4 --amp 46.60 109.14 85.50 89.25 90.11 91.66 13885.47
large 384 4 --noamp 11.73 358.42 343.87 352.49 353.60 355.98 11458.84
large 384 8 --amp 47.73 194.70 168.57 174.71 176.27 181.11 15363.61
large 384 8 --noamp 13.80 602.96 582.11 620.78 622.64 626.49 14223.59
