Inference performance benchmarking for BERT  from 
Model Sequence-Length Batch-size Precision Throughput-Average(sent/sec) Latency-Average(ms) Latency-50%(ms) Latency-90%(ms) Latency-95%(ms) Latency-99%(ms) Latency-100%(ms)
base 128 1 --amp 185.83 84.89 5.36 5.56 5.61 8.38 143081.71
base 128 1 --noamp 122.40 34.38 8.16 8.32 8.38 9.59 47134.33
base 128 2 --amp 342.94 57.78 5.78 5.96 6.03 10.74 88386.93
base 128 2 --noamp 148.32 41.48 13.48 13.75 13.84 15.77 47442.85
base 128 4 --amp 450.58 59.85 8.86 9.02 9.09 10.16 90064.65
base 128 4 --noamp 157.95 52.90 25.42 25.93 26.08 26.54 47835.79
base 128 8 --amp 468.98 62.53 17.03 17.42 17.51 20.40 90116.10
base 128 8 --noamp 150.11 78.07 53.18 56.16 56.69 57.57 48043.57
base 384 1 --amp 122.74 94.06 8.13 8.28 8.34 10.43 89673.26
base 384 1 --noamp 45.80 67.94 21.90 22.18 22.49 23.40 48042.47
base 384 2 --amp 136.40 102.86 14.67 14.88 14.94 16.06 90447.14
base 384 2 --noamp 49.80 87.86 40.12 41.20 41.49 42.25 48171.86
base 384 4 --amp 135.51 120.68 29.51 30.05 30.21 31.04 93499.00
base 384 4 --noamp 43.54 140.43 91.88 96.00 96.66 97.78 49044.39
base 384 8 --amp 134.15 154.53 59.56 60.87 61.28 62.07 99404.58
base 384 8 --noamp 45.58 224.93 175.36 180.68 181.49 183.47 50999.30

